Answer,Answer Index
Schizoid personality disorder,1
Streptococcus pneumoniae,1
Decrease in transmembrane sodium gradient,1
Start him on both hydrocortisone and fludrocortisone therapy,3
Polymerase chain reaction,3
Doxycycline,1
Impaired CSF flow through the arachnoid granulations,2
Small blue cells arranged in rosettes around a central neuropil,3
There is a 5.2% chance that A is more effective than B is due to chance,2
Anti-cardiolipin,1
Acute arterial occlusion,3
IM epinephrine,1
Metaplasia,1
Endometrial carcinoma,1
Brown-black color in one area of the lesion to red-white in a different area,1
Fluid restriction,4
Polyostotic fibrous dysplasia,4
16,2
Superomedial quadrant of the right buttock,4
Papillary muscles,3
Alport syndrome,1
Vaginal septum,3
Asthma attack,1
Lactulose,2
Ehlers-Danlos syndrome,3
Contact another family member for consent,3
"Increased glomerular filtration rate, restricted aldosterone release, vascular smooth muscle dilation",3
Informed consent is not needed in this case,4
Prevalence,2
Impaired degradation of β-catenin,3
Linear aggregations of red blood cells,2
Oxybutynin,2
Alpha-adrenergic agonist,1
Mixed connective tissue disease,1
Bupropion,1
Denaturation of lens protein,1
Somatization disorder,3
Bipolar II disorder,1
Abdominal x-ray,3
Subcutaneous fondaparinux,1
Intracellular inclusions of alpha-synuclein,3
Impaired growth plate mineralization,3
ERCP,1
Autosomal dominant polycystic kidney disease,2
MRI of the hip,1
Preventable by a live attenuated vaccine,1
Sympathetic block,1
Exchange transfusion,2
Interstitial edema,2
Sickle cell disease,2
Inhibition of P-glycoprotein,4
Intubation and mechanical ventilation,4
Comprehensive foot exam every year,2
Hypertrophic cardiomyopathy,1
Epstein-Barr virus,1
Decrease in systemic vascular resistance,2
Clonidine,1
Desensitization,1
Cognitive training,4
External anal sphincter,2
Needle thoracostomy,3
Rectouterine pouch,1
Cerebellar demyelination,1
Fexofenadine,2
Reaction formation,2
Primary hyperparathyroidism,1
Continue current therapy,3
Decreased adiposity contributes to hypoestrogenemia in this patient,2
Incision and drainage with intravenous ampicillin-sulbactam therapy,2
Factitious disorder,1
Adverse effect of anesthetic,1
Bone marrow biopsy,2
Heliobacter pylori infection,3
"HIV, syphilis, and hepatitis B",1
Schizotypal personality disorder,1
Heroin,4
Moderate flexion then hyperpronation,2
Polymyositis,3
Anterior horn cell degeneration,1
Methimazole and propranolol therapy,1
Tenderness at the insertion of the Achilles tendon,4
Papillary carcinoma of the thyroid,3
Methadone,1
Renin,3
Raynaud's phenomenon,1
Recommend additional serologic testing for parvovirus B19,4
Trichomonal vaginitis,3
6th pharyngeal arch,4
Increased adenylate cyclase activity,4
Cladribine,1
Urine antigen test,4
Pseudomonas keratitis,4
Valley fever,4
Exchange transfusion,2
Polymerase chain reaction for viral genes,4
Anti-HEV IgM,4
Inflammation and edema,1
Accumulation of fluid in the pericardial space,3
Hydrochlorothiazide,2
It is inhibited by protein kinase A activity,3
Bupropion,3
Hematopoietic cell transplantation,1
Autoantibody-mediated platelet activation,4
"Integration of foreign DNA into host genome
""",4
HIV and HCV testing,3
Pseudomonas,2
Reassurance and counseling on positioning,3
Left cord hemisection,4
PSA,1
Pericardiocentesis,1
Chronic obstructive pulmonary disease,3
Wrap the intestines in a sterile bowel bag,1
Upregulation of hepcidin,3
Add fluticasone daily,2
Struma ovarii,4
Autosomal dominant,1
Chronic obstructive bronchitis,4
The drug caused uncoupling of the electron transport chain and oxidative phosphorylation.,2
Rough endoplasmic reticulum,2
Administer ulipristal acetate,3
Lamotrigine,1
Pancreas divisum,4
Seizures due to hypocalcemia,1
Mevalonate,1
Acetylcholine receptor,2
Release of prostaglandins,2
Sofosbuvir and ledipasvir therapy,1
Parietal cells,3
ADH resistance in the renal collecting ducts,3
Celiac disease,2
Inpatient treatment with intravenous ciprofloxacin,1
0.9% saline IV,1
Enterotoxigenic Escherichia coli,4
"If the sensitivity of this screening test were decreased, the statistical power would decrease.",4
Creates pores in the cell membrane,3
Inadvertent surgical removal of parathyroid glands,1
Iron supplementation,3
Protein C concentrate,2
Long face and large everted ears,2
Metoprolol,3
Increased alveolar dead space due to absent perfusion of certain alveoli,1
Protein deposition,4
"A small region of red, velvet-like mucosa in the lower esophagus",3
Refuse the procedure because it violates the ethical principle of autonomy,3
Inhibit phagocytosis,2
Glycosidic bonds,2
Oral acyclovir,1
Surgical gastropexy,4
Distributive shock with warm skin,1
Head MRI,2
Intravenous thiamine,1
Trichomonas vaginalis,3
Acetylcholine,2
Atropine and pralidoxime,3
Endochondral ossification,3
HER2,1
Na+/Cl- cotransporter in the membranes of epithelial cells in the distal convoluted tubule,3
Itraconazole,1
Squeezing the nostrils manually for 10 minutes with the head elevated,4
Infection,3
Projection,3
Chikungunya virus,2
Accept the patient's wishes and ensure he receives appropriate care.,3
Compression ultrasonography,2
Headache and tinnitus,1
Carotid baroreceptor firing activity,3
Emergency open surgical repair,4
Recurrent laryngeal nerve injury,2
Isolated gonadotropin-releasing hormone (GnRH) deficiency,2
Phosphodiesterase inhibitor,4
D-glutamate capsule,2
Staphylococcus aureus,2
E,4
Posterior cerebral artery,3
Breastfeeding jaundice,2
It is a diagnosis of exclusion,2
Sympathetic nervous system activation,3
Surgical pinning of the right hip,4
Leydig cell tumor,1
Nocturnal penile tumescence testing,3
Amoxicillin-clavulanic acid,2
Oral prednisone,1
Borderline personality disorder,2
Papillary necrosis,3
Excess weight,2
Negative selection,4
"μ, κ, and ẟ receptor antagonist",1
Sarcoidosis,1
CN X,1
Reidel thyroiditis,3
Principal cells; aldosterone,3
HSV-1,3
Respect the patient's prior wishes and do not resuscitate,2
Synchronized cardioversion,4
Spherocytes,3
Elbow flexion,1
Shellfish,3
Arterial emboli,3
Hypokalemia,2
Increase in false negative test results,1
Increases levels of fetal hemoglobin (HgbF),2
Potassium,3
Hair tourniquet syndrome,3
Omeprazole,4
"Dexamethasome, racemic epinephrine and observation for 4 hours; discharge if stridor remits",2
"Conversion of a protein from an a-helix to a ß-pleated form, which resists degradation.",3
Anti-Sjögren's syndrome type B (SS-B) antibody,1
Tiotropium,3
Impaired migration of GnRH neurons,3
Inform the patient that romantic relationships with current patients are unethical.,1
It consists of a largely circumscribed granuloma with epithelioid cells with Langhans cells.,3
Phosphoinositol system,3
Monochorionic-diamniotic monozygotic,1
Deep venous thrombosis,1
Decreased antidiuretic hormone secretion,3
Sensory loss,4
"pH = 7.5, Pco2 = 50 mm Hg, HCO32- = 38 mEq/L",1
Retrograde cytoskeletal motor protein,3
Inflammation of the gallbladder wall,2
Adaptation in binding proteins,4
Surgical excision,2
25/5 mmHg,2
Tympanostomy tube insertion,2
Citrate,2
Hallucinations,1
Cefepime and levofloxacin,4
Schizoaffective disorder,2
Vascular dementia,4
"""""""Let's talk about what makes it difficult for you to take your medications.""""""",1
Ultrasonography of the neck,1
"Discontinue methimazole, start propylthiouracil",2
Spinal stenosis,4
Anaphylactic transfusion reactions,1
Granulomas with giant cells,4
Change lisinopril to losartan,4
Mu receptor agonist,1
Thrombotic thrombocytopenic purpura,2
Exploratory laparotomy,3
"Muscle relaxation time: increased, cytosolic calcium concentration: increased",2
Percutaneous coronary intervention,1
History of abdominal surgery,3
Continuous mucosal damage,4
T-cell receptor signaling,2
Presence of smudge cells,4
Sodium bicarbonate,3
Thick and thin blood smear,1
Streptomycin,3
Central retinal artery occlusion,2
Patent foramen ovale,1
Replace potassium intravenously,4
Fluphenazine,2
Membrano proliferative glomerulonephritis (MPGN),1
S3 gallop,2
It reflects a smaller sample size,3
Centrilobular hepatocytes,4
Propofol,1
Inhibits cell wall synthesis,1
Excess collagen deposition in the extracellular matrix of the lung,4
Clomipramine,4
"The association is not statistically significant, and low education is not a risk factor.",1
Neural tube defect,2
D-dimer,3
DIP has more neutrophils and fewer monocytes than PIP,2
Temporomandibular joint dysfunction,3
Atelectasis,4
CT scan of the head,4
Continue antitubercular therapy and antiretroviral therapy without any change,4
Pyriform sinus fistula,2
Bladder tumor,1
Decreased glucose uptake by adipocytes,1
Endoscopic retrograde cholangiopancreatography (ERCP),1
Eplerenone,2
1 month of associated symptoms ,1
Involuntary hospitalization after informing the parents,2
Bacillary angiomatosis,1
Plague,3
Molluscum contagiosum,2
Reaction formation,2
Dietary changes,1
Heat stroke,3
Gynecomastia,2
Clear cell adenocarcinoma,1
Lowering citalopram dose,1
"Fludarabine, cyclophosphamide, rituximab",2
Left circumflex artery,2
Thoracic aortic aneurysm,4
Primary biliary cirrhosis,1
Dantrolene,2
Administration of oral ketorolac,1
Pneumonia,3
Topical metronidazole,3
Increased right ventricular afterload,3
Selective albuminuria,2
Notochord,2
Ruptured ovarian cyst,4
Increased peak tricuspid regurgitation,2
Fluoxetine,1
Well-defined cystic lesion with peritrabecular fibrosis,4
Brief psychotic disorder,1
Age,3
"Inhibition of the 60S ribosomal subunit, resulting in decreased protein synthesis in gastrointestinal mucosal cells",4
Wilson disease,4
Tracheobronchial rupture,4
Cardiac tamponade,4
Lactotrophs,2
Ventricular septal defect,4
Support pessary,1
Infundibulopelvic ligament,4
Smudge cells,3
Chlamydia trachomatis,3
Inosine monophosphate dehydrogenase,1
Mismatch repair,3
Gastric peptic ulcer,3
Prevent excess anterior translation of the tibia relative to the femur,2
Oxidization of Fe2+ to Fe3+,3
Sodium hypochlorite,2
Pseudocyesis,2
Alcohol use disorder,3
Conjugation with a protein carrier provides effective protection to infants,4
Influx of calcium,4
"Rifampin alters normal gastrointestinal flora, which leads to a decrease in the enterohepatic circulation of estrogens.",1
Dermatofibroma,1
Coronary artery aneurysm,1
Marijuana,2
Superior mesenteric artery,4
The observed number of deaths divided by the expected number of deaths,3
Hypoxanthine-guanine phosphoribosyl transferase of the purine metabolism pathway,3
Zinc,4
Repeat antibody screening at 28 weeks. Administer anti-D immunoglobulin at 28 weeks and after delivery if the newborn is Rh(D) positive.,1
Parasitic infection,3
Decreased complement levels,1
Food-borne illness,3
Inhibition of vitamin K-dependent clotting factors,3
Benztropine,1
Minimal change disease,4
Mutation of DNA gyrase,2
Diazepam,3
Inhibition of lipase,4
Triamterene,3
Dog bite,4
Presence of immunoglobulin bands on cerebrospinal fluid immunofixation,3
Case-control study,1
Sodium bicarbonate,4
"Low IgA, normal IgG, and IgM",2
Elevated serum creatine kinase,4
Elevate posterior fornix,3
Insulin resistance,3
Runs posteriorly from the medial femoral condyle,4
"Increased Aa gradient, decreased surface area for diffusion, increased diffusion distance",4
Babesiosis,2
Atrial myxoma,4
Classical Hodgkin’s lymphoma (HL),2
Bethanechol and intermittent straight catheterization,1
Echocardiogram,2
Indomethacin,1
Boys are more commonly affected than girls,1
Chlorine-based solution,1
Alanine,1
"Dimercaptosuccinic acid (DMSA), also known as succimer",4
Femoral neck fracture,1
Alveolar hypoventilation,1
Ask the son to step out so you can speak with the patient alone,4
Increased activity of D cells,2
Capsular invasion,2
Tumor stage,2
Adenosine deaminase deficiency,2
ATP7A,1
Gonadectomy,1
Gastritis,3
Decreased iron-binding capacity,3
Measure serum drug concentration,3
Acute calculous cholecystitis,1
Muellerian agenesis,1
Gastrohepatic ligament,2
Perforated gastric peptic ulcer,4
Begin warfarin and heparin,4
Case-control,3
Extending fine striations,3
Generalized anxiety disorder,1
Systolic murmur that increases with hand clenching,1
Blunting of costophrenic angle,4
Ventral thalamus,4
Von Willebrand disease,3
Flexor pollicis longus tendon,2
Imbalance of fluid secretion and resorption by tunica vaginalis,1
Emergent fasciotomy,1
Varicella,2
Conservative management with IV fluid hydration and observation,2
Its activity depends on pH and is greatly reduced in the presence of organic matter,4
Tinea cruris,2
The baby’s oocytes are arrested in prophase,2
Folic acid supplementation,4
Sitagliptin,1
Airway remodeling,3
Platelet activating factor,1
CT scan of the head,1
Factorial design study,2
Iodine deficiency,2
Acute hepatitis B,4
Antibodies directed against phospholipids,2
Prednisone,4
Streptococcus pneumoniae,3
Complement inhibitor deficiency,2
Functional residual capacity,3
Ornithine and carbamoyl phosphate to citrulline,1
Germ cells,1
Organic acids competing with urate for tubular secretion,1
"Treat with three weekly injections of penicillin, obtain titers in 6 months",3
Cholelithiasis,1
"3 months prior to conception, begin a restricted diet to lower phenylalanine levels to below 6 mg/dL",2
Aortic regurgitation,3
Isosorbide dinitrate,2
Bed rest and activity limitation,1
Osmotic diuresis,2
Peroxisome proliferator-activated receptor gamma,4
Anti-glomerular basement membrane antibodies,4
Major depressive disorder,1
Pyridostigmine,1
International normalized ratio,2
P/D1 cells,3
Negative predictive value,3
CA 19-9,4
Continue normal breast feeding,4
Urethral hypermobility,3
IV fluids and mannitol,2
Proximal tubule,3
Absence of UDP-glucuronosyltransferase-1A1,1
B,1
Malabsorption of fatty acids,3
Ichthyosis vulgaris,3
Cervical trauma,3
Administer IV fluids and insulin,1
Late systolic crescendo murmur at the apex with mid-systolic click,2
They occur only during non-REM sleep,2
Hyperpermeability of superficial dermal microvasculature,3
Secondary hyperparathyroidism,2
Amlodipine,4
α-ketoglutarate dehydrogenase,1
Decreased progesterone,2
Interventricular foramen,2
Vitamin K deficiency,4
Mitral valve regurgitation,3
IV fluids and monitoring,4
Nystatin,3
Pyoverdine,4
Cells staining positive for CD15 and CD30,1
Crown-rump length,3
Elongated and thickened pylorus on abdominal ultrasound,3
The child should be administered a single dose of oral azithromycin.,4
Cytogenetics,2
Intravenous ciprofloxacin and vancomycin therapy,2
Metabolic alkalosis,2
pol gene mutation,3
Alendronate,1
She fears not being able to escape similar situations.,1
Vagal stimulation,3
4%,1
Tearing of the middle meningeal artery,1
Reducing daily insulin dose,4
Chlorine dioxide,1
Transient hypertrophic cardiomyopathy,2
Spinal metastasis,2
Modafinil,3
Cooling the dialysate,1
Increased tryptophan intake,2
"Methylprednisolone, plasmapheresis, and cyclophosphamide",3
Intracellular receptors,1
IV steroids,3
Blocks microtubule formation,2
Posterior urethral valves,2
Filgrastim,3
Hyaline membranes lining the alveoli on lung biopsy,3
Choledocholithiasis,2
V/Q scan,3
Cyclophosphamide,2
Currently menstruating,4
Group D streptococci,4
Sargramostim,3
Check serum electrolytes,2
"Perform percutaneous drainage
""",4
Add a sulfonylurea,3
Alpha-Ketoglutarate + NAD+ + CoA <=> Succinyl-CoA + CO2 + NADH,1
Treat and transfer the patient after she makes a written request,3
Muscarinic antagonist,3
Failure of paramesonephric duct development,4
Elevated serum CA-125 level,1
Ultrasound,2
Propranolol,3
Hypothesis testing cannot be performed,2
Cell wall cross-linking inhibitor,3
Pyrantel pamoate,4
Central fusion of the inferior poles of the kidneys ,1
Impaired urine concentration ability,4
Inferior vena cava,1
250/25,2
Paroxetine,3
He may work longer shifts,3
Increased norepinephrine at the sinoatrial node,4
Surgical resection,3
A Western blot will show increased HIF-1α compared to a normoxic control.,4
Proteinuria,4
Relative protein intake,2
Cell-free DNA testing,2
Macrophage,4
Factor XII,4
Night blindness,3
Type II pneumocytes,3
Prolonged QT interval,3
480 mg,2
Gastroenteritis,1
Triazolam,2
GI upset,2
Aortic valve stenosis,4
Increased production of nitric oxide,3
“I can not help you due to the ethical principle of nonmaleficence.”,3
IL-4,4
Duodenal atresia,3
Beta-1 adrenergic receptor,2
Deferoxamine,2
Meningocele,2
"Ages 2 months, 6 months, and 12 months",4
CT angiogram,1
Antitoxin,1
Cystocele,2
Crohn’s disease,1
Cardiac tamponade,1
Donepezil,3
"WBC/mm3 53,000; % PMN > 75%; Viscosity low",2
Eosin-5-maleimide binding test,1
Atrophy of the striatum,4
Adenocarcinoma of the lung,4
Stiffening of the aorta,3
Orchiopexy,4
Urinalysis,1
Pulmonary embolism,1
Fee-for-service may incentivize physicians to increase healthcare utilization irrespective of quality,3
Aspirin and heparin,1
Androgen insensitivity,4
Waldenstrom’s macroglobulinemia,3
Hyperphosphorylated tau,3
Hyperpigmentation of the liver,3
X,3
gp120,1
This mass will most likely decrease in size or disappear over time,3
Lumbar puncture,2
Inhibition of gonadotropin-releasing hormone release,1
Substance abuse,2
Moxifloxacin and admission to the medical floor,4
Liquefactive necrosis,2
Throat culture,1
Amniotic fluid entering the endocervical veins,2
Tartrate-resistant acid phosphatase,4
Halothane,3
Parietal cell destruction,3
Hyperkalemia,1
Administer lactulose,4
Hyperparathyroidism,1
Increase in circulating fetal hemoglobin,2
Type IV hypersensitivity; CD4+ T cells,4
Adenomatous polyp,2
Bacillus cereus infection,3
Histoplasmosis,3
Pregnancy success rate with donor oocytes is similar to patients with primary ovarian failure,1
Perichondrium,1
MRI of the brain and spine,3
Inhibition of primary active transport,3
Brown recluse spider,2
Area postrema,4
Urinalysis,2
"High BNP, high ADH, low sodium, low potassium",3
Urgent endoscopic retrograde cholangiopancreatography (ECRP),3
Neuroleptic malignant syndrome,3
Beta-hemolytic cocci in chains,2
Arylsulfatase A,2
Folinic acid,3
Activating natural killer cells and cytotoxic T cells,3
Papillary carcinoma,1
Decreased pulmonary capillary wedge pressure,4
Pituitary infarction,3
Cholecystitis,2
Discontinue birth control and place an intrauterine device,2
Administer naloxone,1
Exploratory laparotomy,4
Reintubate,3
Insufficient production of procollagen type 1,1
Antithrombin III deficiency,1
Cardiac pacing,3
45/195,1
Ulcerative colitis,1
"Chronic, non-bacterial prostatitis",2
Left gastroepiploic artery,3
Administer hepatitis B vaccine and HBIG,3
Supportive care,4
Tolterodine,4
Sumatriptan,4
32 breaths per minute,2
"Wrap finger in moist gauze, put in a plastic bag, and place on ice",3
Anovulation,4
Turner syndrome,3
Bleomycin,1
Contrast administration,4
Caspase 1,2
Rough endoplasmic reticulum,1
Medication reaction,3
Neisseria gonorrhoeae and Chlamydia trachomatis screening,1
Hemolytic anemia and ataxia,1
The 99% confidence interval includes the null hypothesis.,1
Gp Ib,1
Alendronate,1
Allow vaginal delivery,1
Increased renal tubular sodium reabsorption,4
Amoxicillin-clavulanate,2
Kwashiorkor,1
X-linked dominant,4
Schizophrenia,4
Mesna,2
Avoidant personality disorder,2
"pH 7.36, PCO2 22 mmHg, and HCO3- 16 mEq/L",3
↓ hemosiderin stores,2
Dilation and curettage,4
Sexually transmitted infection,3
Irreversible inhibition of H+/K+-ATPase at parietal cells,2
Fatty casts and albumin,2
Measurement bias,1
Nests of atypical melanocytes,4
Myocardial perfusion scan under pharmacological stress,1
Urine culture should be performed in this patient again.,3
Omphalocele,2
Melanoma,2
Tachycardia,3
Blue-green pigment,2
Isotype switching,4
Inhibition of cross-bridge cycling,3
It can lead to hydrops fetalis secondary to fetal anemia.,1
Coronary artery vasospasm,1
"Factitious disorder imposed on another
""",4
Bladder catheterization,2
Straight leg raise,2
Plummer-Vinson syndrome,1
Sorbitol dehydrogenase,1
Chronic granulomatous disease,1
Initiation of abduction,3
Osteophytes with joint-space narrowing on x-ray,1
Chediak-Higashi syndrome,3
CT angiography of the chest and give oxygen,2
Inhibition of xanthine oxidase,3
Administer glucagon,2
Flutamide,3
Hyponatremia,1
Accumulation of S-adenosylmethionine,1
No further work-up needed,4
Escherichia coli infection,1
Determining patient’s life-expectancy without treatment,2
These cells transform to macrophages when they migrate to peripheral tissues.,1
ß-hCG,2
History in the previous pregnancy,3
Medication,3
Decreased lymphocyte count,1
Increase in capillary pressure,1
Pancreatic adenocarcinoma,1
Adrenalectomy,1
Efflux of calcium ions,4
Intravenous hydration,4
Embryonic hematopoiesis,2
Cerebellar degeneration,3
Short stature,2
Metoprolol succinate,3
Prednisone and albuterol,1
Ovaries,1
Varenicline,3
Avoiding all dairy products,1
Fractional excretion of urea (FEUrea),3
Diffuse maculopapular rash,2
New York Heart Association Class III,3
Multiple periventricular sclerotic plaques,1
Anti-D IgG,2
Secondary active transporters fail to completely reabsorb glucose in the renal tubules,2
Adhesive capsulitis,2
Toxic exposure,4
Adjust dosage of medication throughout the pregnancy,1
Intravenous cefotetan and doxycycline with inpatient admission,2
20%,4
Amoxicillin,3
Inhibitor of xanthine oxidase,4
Creatine kinase (CK-MB),2
Thumb spica cast and repeat x-rays in 2 weeks,2
Periductal concentric scarring and fibrosis,1
